Designator,Mid X,Mid Y,Rotation,Layer
ANT1,139.6,-83.3,180.0,top
C1,144.3866,-76.3524,180.0,top
C10,139.5984,-67.725,180.0,top
C11,139.5984,-69.1896,180.0,top
C12,160.4518,-78.2574,180.0,top
C13,145.3,-81.19,90.0,top
C2,147.3962,-76.3524,0.0,top
C3,149.606,-64.8084,270.0,top
C4,158.0642,-78.994,90.0,top
C5,157.340001,-81.8642,0.0,top
C6,151.384,-82.6262,180.0,top
C7,143.6,-78.575,270.0,top
C8,145.124,-78.575,270.0,top
C9,146.648,-78.575,270.0,top
D1,139.7125,-74.877,0.0,top
D2,139.6999,-73.406,0.0,top
J2,170.0,-60.0,270.0,top
J3,141.2,-60.0,0.0,top
J4,156.255,-62.46,0.0,top
L1,154.3558,-82.6262,180.0,top
L2,143.51,-68.5292,270.0,top
L3,143.7875,-81.86,0.0,top
R1,142.7,-74.877,0.0,top
R3,142.0114,-68.5292,270.0,top
R4,148.1582,-78.5876,90.0,top
R5,148.106,-64.8084,270.0,top
R6,142.6875,-73.406,0.0,top
R7,160.4518,-79.7306,0.0,top
U1,153.1112,-70.104,180.0,top
U2,153.1112,-64.389,180.0,top
U3,152.7302,-78.7146,90.0,top
U4,139.3698,-71.2724,270.0,top
Y1,145.8976,-74.295,180.0,top
