Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANTC1608X40N,1,2450AT14A0100T,
"C1, C2",0603,2,10p,
"C10, C11, C12, C3, C5, C6, C8, C9",0603,8,100n,
"C13, C4",0402,2,1p5,
C7,0603,1,10u,
D1,0603,1,LED_SD,
D2,0603,1,LED_WiFi,
J2,SD_Card,1,SD_Card,
J3,USB_C_PCB_Single-Side,1,USB_C_Receptacle_USB2.0,
J4,503398-1892,1,503398-1892,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Reset,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ESP_Power_Select,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Boot,
"L1, L2",0603,2,2n2,
L3,0402,1,2n2,
"R1, R6",0603,2,1k,
"R3, R5, R7",0603,3,5k1,
R4,0603,1,0R,
TP1,TestPoint_Pad_D1.5mm,1,TX,
TP2,TestPoint_Pad_D1.5mm,1,RX,
"U1, U2",DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,2,74CBTLV3245,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV73333PDRV,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
