Designator,Mid X,Mid Y,Rotation,Layer
ANT1,139.616,-83.303,180.0,top
C1,144.2466,-72.4916,180.0,top
C10,139.5984,-66.802,180.0,top
C11,139.5984,-68.2752,180.0,top
C12,146.4818,-73.025,90.0,top
C13,145.3134,-81.3334,90.0,top
C2,141.2748,-75.5396,180.0,top
C3,145.7836,-67.2592,180.0,top
C4,142.2908,-81.3334,90.0,top
C5,153.4538,-83.2104,0.0,top
C6,147.4848,-83.2104,180.0,top
C7,143.2052,-78.7778,270.0,top
C8,144.6784,-78.7778,270.0,top
C9,146.1516,-78.7784,90.0,top
D1,139.0396,-76.3016,90.0,top
D2,139.0396,-73.3298,270.0,top
J2,170.0,-84.0,90.0,bottom
J3,141.2,-60.0,0.0,bottom
J4,161.4974,-62.1062,270.0,top
L1,150.4695,-83.2104,180.0,top
L2,143.51,-67.5292,270.0,top
L3,143.8035,-81.863,0.0,top
R1,141.2748,-74.0664,0.0,top
R3,142.0368,-67.5254,90.0,top
R4,144.272,-76.5556,180.0,top
R5,146.05,-69.9892,270.0,top
R6,141.2748,-72.5932,0.0,top
R7,156.1978,-76.2,180.0,top
U1,156.5656,-79.8068,180.0,top
U2,161.036,-79.8068,0.0,top
U3,151.2824,-79.3172,90.0,top
U4,139.3698,-70.358,270.0,top
Y1,144.1704,-74.5236,0.0,top
