Designator,Mid X,Mid Y,Rotation,Layer
ANT1,140.796684,-62.132845,180.0,top
C1,157.7594,-61.989,270.0,top
C10,139.5476,-77.3176,180.0,top
C11,142.909802,-74.371201,180.0,top
C12,139.5476,-75.8444,180.0,top
C13,146.626361,-62.137045,0.0,top
C2,153.4922,-61.989,90.0,top
C3,145.4658,-71.3994,180.0,top
C5,138.7856,-67.7034,90.0,top
C6,143.256,-67.704,90.0,top
C7,145.4658,-72.8726,180.0,top
C8,144.7292,-67.7034,90.0,top
D1,139.5275,-71.3994,0.0,top
D2,139.5275,-69.9262,0.0,top
IC1,155.321,-66.4972,90.0,top
IC2,160.9,-66.5,0.0,top
IC3,142.5448,-72.151,270.0,top
J2,170.0,-84.0,90.0,bottom
J3,141.24,-84.0,180.0,bottom
J4,161.435,-69.56,270.0,top
J5,154.9908,-77.5208,0.0,top
L1,141.0208,-68.453,0.0,top
L2,142.909902,-75.844401,0.0,top
L3,143.839284,-62.137045,0.0,top
L4,145.246361,-62.699021,90.0,top
R1,139.5598,-72.8726,180.0,top
R3,142.9136,-77.3176,0.0,top
R4,151.2702,-61.2394,0.0,top
R5,145.4658,-69.9262,180.0,top
R6,142.494,-69.9262,0.0,top
R7,139.555,-74.35,180.0,top
R8,160.7312,-61.9882,90.0,top
R9,159.2326,-62.294,90.0,top
U3,149.5622,-65.4295,0.0,top
Y1,155.6258,-61.7982,0.0,top
